City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Angoche,MZ,70.99,broken clouds,-16.2325,39.9086,Guest House HESADA
423,Kalianget,ID,81.59,few clouds,-7.05,113.9333,Pesanggrahan Garam
425,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
427,Davila,PH,83.21,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
429,Maragogi,BR,79.48,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
432,Ninghai,CN,73.72,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
435,Cukai,MY,75.92,scattered clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
437,Paka,MY,77.56,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
438,Ergani,TR,72.32,clear sky,38.2653,39.7621,Serkan Hotel
442,Banda Aceh,ID,81.99,overcast clouds,5.5577,95.3222,Sulthan Hotel International
444,Santa Isabel,BR,79.66,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
450,Namibe,AO,73.54,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
452,Colombo,LK,84.15,overcast clouds,6.9319,79.8478,Galle Face Hotel
453,Benguela,AO,76.35,clear sky,-12.5763,13.4055,Hotel Praia Morena
454,Barranca,PE,70.97,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
457,Mayo,US,87.75,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
460,Pires Do Rio,BR,84.63,overcast clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
461,Prachin Buri,TH,76.14,overcast clouds,14.0833,101.6667,Hillside Country Home Golf & Resort
462,Samarai,PG,77.88,overcast clouds,-10.6167,150.6667,Nuli Sapi
463,Lexington,US,84.24,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
467,Toppenish,US,72.86,broken clouds,46.3774,-120.3087,Quality Inn & Suites Toppenish - Yakima Valley
468,Mercedes,AR,72.86,few clouds,-34.6515,-59.4307,Posada del Inti Centro
471,Concepcion Del Oro,MX,81.12,clear sky,24.6333,-101.4167,HOTEL HACIENDA SAN JAVIER
472,Castelo,BR,78.28,broken clouds,-20.6036,-41.1847,Pousada Lua & Sol
473,Albertville,US,81.3,clear sky,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
481,Bubaque,GW,78.96,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
487,Peniche,PT,74.68,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
492,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
495,Bandarbeyla,SO,79.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
499,Sitio Novo Do Tocantins,BR,87.89,scattered clouds,-5.5183,-47.4611,Imperial Hotel
500,Tezu,IN,74.53,overcast clouds,27.9167,96.1667,Circuit House
502,Quatre Cocos,MU,72.09,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
504,Bud,US,82.35,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
505,Marrakesh,MA,86.07,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
506,Piacabucu,BR,79.48,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
509,Bardiyah,LY,70.63,clear sky,31.7561,25.0865,بورتو بردية
519,Lompoc,US,75.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
520,Agua Dulce,MX,87.58,broken clouds,18.1333,-94.1333,Hotel Victoria
521,Jacqueville,CI,84.11,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
523,Saint-Gaudens,FR,73.13,scattered clouds,43.0833,0.6667,L'Ardiégeoise
524,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
529,Gouyave,GD,84.97,broken clouds,12.1646,-61.7296,Rumboat Retreat
531,Dawei,MM,77.86,overcast clouds,14.0833,98.2,Hotel Dawei
538,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
540,Hirara,JP,82.6,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
544,Saint-Pierre,RE,73.08,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
547,Lahaina,US,84.2,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
548,New Baltimore,US,71.08,broken clouds,42.6811,-82.7369,Northpointe Shores RV Resort
550,Pasighat,IN,74.05,broken clouds,28.0667,95.3333,Siang Guest House
551,Auki,SB,74.84,overcast clouds,-8.7676,160.7034,Auki Motel
552,Tazmalt,DZ,71.96,overcast clouds,36.3868,4.3989,Hôtel Numédia
556,Saint-Joseph,RE,71.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
558,Kloulklubed,PW,83.66,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
