City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Manggar,ID,2021-05-23 18:16:51,-2.8833,108.2667,81.77,78,55,7.25
228,Pinega,RU,2021-05-23 18:16:52,64.7001,43.3936,40.24,55,61,8.3
229,Shubarshi,KZ,2021-05-23 18:16:52,48.5872,57.1869,75.09,26,25,7.9
230,Bilma,NE,2021-05-23 18:16:52,18.6853,12.9164,96.21,7,0,3.4
231,Yellowknife,CA,2021-05-23 18:15:33,62.456,-114.3525,63.12,40,20,13.8
232,Namibe,AO,2021-05-23 18:16:53,-15.1961,12.1522,74.66,79,3,4.74
233,Baruni,IN,2021-05-23 18:16:53,25.4833,85.9833,95.38,30,21,5.17
234,Kavaratti,IN,2021-05-23 18:16:54,10.5669,72.642,83.21,75,92,7.72
235,Xining,CN,2021-05-23 18:16:54,36.6167,101.7667,43.14,75,40,2.19
236,Angoram,PG,2021-05-23 18:16:54,-4.0625,144.0661,74.44,99,100,2.98
237,Katsuura,JP,2021-05-23 18:16:55,35.1333,140.3,68.14,89,92,4.88
238,Husavik,IS,2021-05-23 18:16:55,66.0449,-17.3389,40.91,98,100,8.34
239,Lazo,RU,2021-05-23 18:16:55,43.3817,133.9014,50.41,98,86,3.31
240,Sao Filipe,CV,2021-05-23 18:16:56,14.8961,-24.4956,74.08,74,12,8.3
241,Iqaluit,CA,2021-05-23 18:16:56,63.7506,-68.5145,20.93,62,75,18.99
242,Mazamari,PE,2021-05-23 18:16:57,-11.3258,-74.5308,86.85,54,47,2.39
243,Lata,PT,2021-05-23 18:16:57,40.1629,-8.3327,63.05,60,5,11.92
244,Namatanai,PG,2021-05-23 18:16:57,-3.6667,152.4333,77.16,90,100,2.42
245,Amapa,BR,2021-05-23 18:16:58,1.0,-52.0,79.32,95,97,3.89
246,Xinye,CN,2021-05-23 18:16:58,32.5186,112.3522,59.29,79,70,5.79
247,Caravelas,BR,2021-05-23 18:16:58,-17.7125,-39.2481,81.01,63,57,9.51
248,Norman Wells,CA,2021-05-23 18:16:59,65.282,-126.8329,50.04,87,90,10.36
249,Katobu,ID,2021-05-23 18:16:59,-4.9408,122.5276,74.21,95,45,2.82
250,Umm Lajj,SA,2021-05-23 18:16:59,25.0213,37.2685,81.12,58,0,9.6
251,Broome,US,2021-05-23 18:17:00,42.2506,-75.833,82.17,53,90,4.0
252,Ambon,ID,2021-05-23 18:17:00,-3.6954,128.1814,75.34,83,40,9.4
253,Charters Towers,AU,2021-05-23 18:17:00,-20.1,146.2667,60.33,93,5,8.08
254,Surgut,RU,2021-05-23 18:16:19,61.25,73.4167,57.38,42,40,12.39
255,Solnechnyy,RU,2021-05-23 18:17:01,50.7214,136.6319,45.63,94,63,5.03
256,Zabid,YE,2021-05-23 18:17:01,14.1951,43.3152,94.71,38,35,1.1
257,Lulea,SE,2021-05-23 18:17:02,65.5842,22.1547,41.07,75,90,5.75
258,Atar,MR,2021-05-23 18:16:13,20.5169,-13.0499,104.09,12,0,15.57
259,Ancud,CL,2021-05-23 18:17:02,-41.8697,-73.8203,56.23,95,100,21.43
260,Old Town,CZ,2021-05-23 18:17:03,50.087,14.4202,59.9,59,0,7.0
261,Bairiki,KI,2021-05-23 18:17:03,1.3292,172.9752,82.4,80,75,15.66
262,Padang,ID,2021-05-23 18:15:21,-0.9492,100.3543,78.82,85,68,3.49
263,Cabedelo,BR,2021-05-23 18:17:04,-6.9811,-34.8339,84.87,74,37,15.12
264,Faanui,PF,2021-05-23 18:17:04,-16.4833,-151.75,81.32,73,30,14.16
265,Kangavar,IR,2021-05-23 18:17:04,34.5043,47.9653,59.63,60,73,1.88
266,Roma,US,2021-05-23 18:17:05,43.2128,-75.4557,69.94,84,90,13.8
267,Mananjary,MG,2021-05-23 18:17:05,-21.2167,48.3333,68.59,75,12,0.69
268,Champaign,US,2021-05-23 18:17:05,40.1334,-88.2001,86.72,54,75,1.99
269,Athabasca,CA,2021-05-23 18:15:05,54.7169,-113.2854,61.21,59,51,9.26
270,Lompoc,US,2021-05-23 18:17:06,34.6391,-120.4579,69.69,68,75,11.5
271,Simao,CN,2021-05-23 18:17:06,22.7886,100.9748,73.26,72,87,2.8
272,Nichinan,JP,2021-05-23 18:17:07,31.6,131.3667,67.98,80,100,3.47
